EZON México. Smart Lock Finder - Catálogo de Modelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN DEL PRODUCTO,,,,,,P1 · MATERIAL DE LA PUERTA,,,P2 · TIPO DE PUERTA,,,,,P3 · GROSOR DE PUERTA,,P4 · UBICACIÓN,,,,,,,P5 · MÉTODOS DE ACCESO,,,,,,P6 · FUNCIONES ESPECIALES  (condicional),,,,,,,P7 · TIPO DE CERRADURA  (condicional),,,
Marca,Nombre,URL Shopify,URL img,Precio Full,Precio con descuento,Madera,Metal,Vidrio,Abatible — 1 hoja,Abatible — 2 hojas,Corrediza — 1 hoja,Corrediza — 2 hojas,Reja,Grosor mín (cm),Grosor máx (cm),Interior — Puerta principal,Interior — Recámara / cuarto,Interior — Closet / bodega,Interior — Oficina / negocio,Exterior — Con techo,Exterior — Sin techo / expuesto,Exterior — Reja,Huella dactilar,Reconocimiento facial,Código PIN,App celular,Tarjeta / RFID,Llave mecánica respaldo,Bloqueo automático,Modo niño,Cámara / videoportero,Códigos temporales (Airbnb),Apertura remota,Google Home / Alexa,Administración Airbnb,Cerradura con manija,Push-pull,Cerrojo / Deadbolt,Candado
Igloohome,Candado Inteligente con Huella Padlock Lite,https://ezonmexico.com/products/candado-huella-digital-igloohome-padlock-lite,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP3_PadLockLiteBlack-01.jpg,"$1,915.00","$1,341.00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Igloohome,Candado Inteligente Para Exterior Padlock 2,https://ezonmexico.com/products/candado-inteligente-igloohome-padlock-2,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP3_PadLock2E-01_baaf0b0e-73ea-4508-a628-28db2ac40a4c.jpg,"$6,197.00","$4,338.00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Igloohome,Candado Inteligente Para Exterior Padlock 2E,https://ezonmexico.com/products/candado-inteligente-igloohome-padlock-2e,https://ezonmexico.com/cdn/shop/files/BasicasGrisesP3_PadLock2E-01.jpg,"$8,830.00","$6,623.00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Excel,Cerradura WiFi Con Cámara EXC-SL204,https://ezonmexico.com/products/cerradura-inteligente-camara-excel-sl204, https://ezonmexico.com/cdn/shop/files/EXCEL_EXC-SL204.jpg,"$6,198.50","$3,719.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente Con Cámara EXC-SP800,https://ezonmexico.com/products/cerradura-inteligente-camara-excel-sp800,https://ezonmexico.com/cdn/shop/files/BasicasGrisesDenaite_SP800-01.jpg,"$14,399.00","$12,959.10",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Excel,Cerradura Inteligente con Cámara EXC-SP820,https://ezonmexico.com/products/cerradura-inteligente-camara-excel-sp820,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEZON5.0_SP820-01.jpg,"$12,649.00","$5,060.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Moorgen,Cerradura Inteligente con cámara Moorgen T5+,https://ezonmexico.com/products/cerradura-inteligente-moorgen-t5p,https://ezonmexico.com/cdn/shop/files/Moorgen-T5-Black-1.jpg,"$17,844.00","$16,059.60",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Moorgen,Cerradura Inteligente con cámara Moorgen T9,https://ezonmexico.com/products/cerradura-inteligente-con-camara-moorgen-t9,https://ezonmexico.com/cdn/shop/files/BasicasMoorgen_T9-02.jpg,"$21,595.00","$19,435.50",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Moorgen,Cerradura Inteligente Con Cámara Moorgen T66,https://ezonmexico.com/products/cerradura-inteligente-con-camara-moorgen-t66,https://ezonmexico.com/cdn/shop/files/BasicasMoorgen_T66-01.jpg,"$50,367.00","$35,257.00",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Moorgen,Cerradura Inteligente con cámara Moorgen X5+,https://ezonmexico.com/products/cerradura-inteligente-con-camara-moorgen-x5,https://ezonmexico.com/cdn/shop/files/BasicasMoorgen_X5_-03.jpg,"$14,869.00","$13,382.10",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
